Date,Value,Name
2024-12-09,4.56,us_1m
2024-12-10,4.53,us_1m
2024-12-11,4.49,us_1m
2024-12-12,4.43,us_1m
2024-12-13,4.43,us_1m
2024-12-16,4.43,us_1m
2024-12-17,4.46,us_1m
2024-12-18,4.44,us_1m
2024-12-19,4.42,us_1m
2024-12-20,4.43,us_1m
2024-12-23,4.44,us_1m
2024-12-24,4.44,us_1m
2024-12-25,,us_1m
2024-12-26,4.45,us_1m
2024-12-27,4.44,us_1m
2024-12-30,4.43,us_1m
2024-12-31,4.4,us_1m
2025-01-01,,us_1m
2025-01-02,4.45,us_1m
2025-01-03,4.44,us_1m
2025-01-06,4.43,us_1m
2025-01-07,4.42,us_1m
2025-01-08,4.41,us_1m
2025-01-09,4.44,us_1m
2025-01-10,4.42,us_1m
2025-01-13,4.42,us_1m
2025-01-14,4.42,us_1m
2025-01-15,4.4,us_1m
2025-01-16,4.43,us_1m
2025-01-17,4.43,us_1m
2025-01-20,,us_1m
2025-01-21,4.42,us_1m
2025-01-22,4.42,us_1m
2025-01-23,4.45,us_1m
2025-01-24,4.45,us_1m
2025-01-27,4.44,us_1m
2025-01-28,4.44,us_1m
2025-01-29,4.43,us_1m
2025-01-30,4.37,us_1m
2025-01-31,4.37,us_1m
2025-02-03,4.37,us_1m
2025-02-04,4.36,us_1m
2025-02-05,4.35,us_1m
2025-02-06,4.37,us_1m
2025-02-07,4.37,us_1m
2025-02-10,4.38,us_1m
2025-02-11,4.38,us_1m
2025-02-12,4.38,us_1m
2025-02-13,4.37,us_1m
2025-02-14,4.37,us_1m
2025-02-17,,us_1m
2025-02-18,4.38,us_1m
2025-02-19,4.38,us_1m
2025-02-20,4.37,us_1m
2025-02-21,4.36,us_1m
2025-02-24,4.36,us_1m
2025-02-25,4.34,us_1m
2025-02-26,4.35,us_1m
2025-02-27,4.38,us_1m
2025-02-28,4.38,us_1m
2025-03-03,4.38,us_1m
2025-03-04,4.39,us_1m
2025-03-05,4.38,us_1m
2025-03-06,4.38,us_1m
2025-03-07,4.38,us_1m
2025-03-10,4.37,us_1m
2025-03-11,4.37,us_1m
2025-03-12,4.36,us_1m
2025-03-13,4.37,us_1m
2025-03-14,4.37,us_1m
2025-03-17,4.37,us_1m
2025-03-18,4.37,us_1m
2025-03-19,4.37,us_1m
2025-03-20,4.36,us_1m
2025-03-21,4.36,us_1m
2025-03-24,4.35,us_1m
2025-03-25,4.36,us_1m
2025-03-26,4.36,us_1m
2025-03-27,4.37,us_1m
2025-03-28,4.38,us_1m
2025-03-31,4.38,us_1m
2025-04-01,4.38,us_1m
2025-04-02,4.38,us_1m
2025-04-03,4.36,us_1m
2025-04-04,4.36,us_1m
2025-04-07,4.36,us_1m
