Date,DoosanEnerbility,HanwhaAerospace,HDHyundaiHeavy,HyundaiMotor,KBFinancial,Kia,LGES,SamsungBio,SamsungElectronics,SKHynix
2024-12-09,40827.71875,276021.21875,73792.8671875,188486.328125,79986.3515625,85947.3671875,387500.0,1465271.75,52170.90234375,167151.1875
2024-12-10,41500.17578125,287893.09375,74659.8828125,197394.890625,80469.3671875,89497.3671875,385000.0,1474497.0,52757.08984375,168635.640625
2024-12-11,41500.17578125,294818.375,76297.578125,195988.265625,82497.9921875,90151.3203125,378000.0,1459121.625,52757.08984375,170021.140625
2024-12-12,42268.6953125,308174.21875,74948.8984375,198332.640625,84043.625,90805.265625,404500.0,1472959.375,54613.359375,174276.640625
2024-12-13,41211.98046875,319551.4375,75623.234375,201614.75,82111.59375,91646.0546875,400000.0,1516010.5,54808.76171875,173682.84375
2024-12-16,39915.1015625,316583.46875,75912.2421875,197863.78125,81725.1796875,89030.265625,398000.0,1535998.375,54320.26171875,177443.484375
2024-12-17,40107.2265625,302238.28125,76875.59375,193643.90625,81531.9765625,89403.9453125,382500.0,1497560.0,52952.4921875,182094.8125
2024-12-18,42652.95703125,302238.28125,76779.265625,203021.34375,84236.828125,95102.6328125,381500.0,1506785.25,53636.37890625,181600.0
2024-12-19,44862.45703125,305700.9375,76201.25,198801.5,83947.03125,93981.578125,372000.0,1472959.375,51877.80859375,173188.03125
2024-12-20,45342.78515625,301743.625,76104.9140625,197394.890625,82884.40625,94542.109375,357500.0,1443746.25,51780.109375,166755.3125
2024-12-23,45054.5859375,322519.40625,78416.9609375,201614.75,84043.625,94261.84375,359000.0,1459121.625,52268.59765625,167843.9375
2024-12-24,44526.23046875,320540.78125,77549.9453125,203021.34375,83560.625,93981.578125,350000.0,1442208.75,53147.88671875,166755.3125
2024-12-26,43565.578125,320046.125,79572.9921875,203959.078125,82594.6015625,96130.265625,344500.0,1440671.125,52366.30078125,168338.75
2024-12-27,42636.5703125,319000.0,77260.9453125,201614.75,82111.59375,94261.84375,348000.0,1436058.625,52821.7265625,172693.1875
2024-12-30,40974.13671875,326500.0,76297.578125,198801.5,80082.953125,94075.0,348000.0,1459121.625,52329.90234375,172099.40625
2025-01-02,41707.55859375,363500.0,82463.046875,198332.640625,80565.953125,94915.7890625,346000.0,1436058.625,52526.6328125,169427.375
2025-01-03,42440.9921875,362000.0,81114.3515625,199739.25,80952.375,94075.0,356000.0,1445283.75,53510.28125,180016.5625
2025-01-06,42440.9921875,366000.0,78898.6484375,198332.640625,82594.6015625,93888.15625,361500.0,1454509.0,54985.74609375,197731.234375
2025-01-07,40680.765625,381000.0,79380.3125,197863.78125,82691.203125,92580.265625,365500.0,1511397.875,54493.92578125,192980.9375
2025-01-08,41071.92578125,383000.0,78994.96875,200208.109375,82691.203125,94355.265625,373500.0,1549836.25,56362.84765625,192684.046875
2025-01-09,40289.60546875,392000.0,79765.6484375,199739.25,83753.8203125,96503.9453125,358500.0,1546761.125,55182.4765625,202877.390625
2025-01-10,41169.71484375,378500.0,79572.9921875,211929.921875,84816.4453125,98652.6328125,348500.0,1537536.0,54395.5546875,201392.921875
2025-01-13,41365.296875,395500.0,80729.015625,206303.453125,86265.4765625,98465.7890625,347500.0,1555986.375,53215.1875,192288.1875
2025-01-14,42294.30078125,395500.0,80054.6640625,208178.9375,85782.4609375,99680.265625,358000.0,1574436.75,53018.45703125,192980.9375
2025-01-15,43712.265625,395000.0,81018.0234375,206772.328125,86845.0859375,96503.9453125,351500.0,1568286.625,52821.7265625,196147.8125
2025-01-16,44103.421875,394000.0,81114.3515625,205365.703125,87328.1015625,96597.3671875,352000.0,1602112.5,53411.9140625,207825.625
2025-01-17,43907.84375,382500.0,81885.03125,198332.640625,85589.2578125,94822.3671875,350500.0,1560599.0,52821.7265625,212279.03125
2025-01-20,42978.8359375,377500.0,81307.015625,195519.421875,85782.4609375,94355.265625,370500.0,1560599.0,52526.6328125,209804.9375
2025-01-21,44494.5859375,389500.0,81788.7109375,193643.90625,85879.0703125,94355.265625,354500.0,1539073.5,52624.99609375,215742.796875
2025-01-22,48406.19921875,389000.0,81307.015625,195519.421875,86362.0703125,96223.6875,360000.0,1559061.5,53411.9140625,223165.140625
2025-01-23,48308.40625,383500.0,80247.3359375,195988.265625,85589.2578125,95943.421875,353500.0,1619025.375,52821.7265625,217227.265625
2025-01-24,51339.90625,411500.0,81307.015625,192237.296875,85879.0703125,95009.2109375,353500.0,1671301.625,52821.7265625,218711.71875
2025-01-31,46988.23828125,400000.0,80054.6640625,193175.046875,88583.9140625,95289.4765625,352000.0,1662076.375,51542.98828125,197137.4375
2025-02-03,46645.97265625,392500.0,79380.3125,189424.0625,85782.4609375,89777.6328125,336500.0,1683601.875,50165.88671875,188923.390625
2025-02-04,46792.65625,406500.0,78802.3046875,188486.328125,88197.515625,90338.15625,333000.0,1648238.5,51838.08203125,189121.328125
2025-02-05,46059.23046875,402500.0,78513.296875,191768.4375,87907.7109375,91646.0546875,345000.0,1668226.5,52034.80859375,196741.578125
2025-02-06,47672.76953125,420500.0,83522.734375,190830.6875,82014.984375,92300.0,342000.0,1674376.625,53116.8203125,201392.921875
2025-02-07,46988.23828125,418000.0,75719.578125,188017.46875,83077.609375,90151.3203125,336000.0,1783541.75,52821.7265625,200898.09375
2025-02-10,46108.125,413000.0,74852.5546875,186985.9375,82014.984375,88376.3203125,346500.0,1737415.625,54690.65234375,196048.84375
2025-02-11,45570.27734375,498000.0,73889.2109375,186985.9375,81338.7734375,87628.9453125,343000.0,1805067.25,54789.01953125,197632.265625
2025-02-12,45472.48828125,520000.0,75334.2421875,185766.890625,79213.5390625,85667.109375,338500.0,1778929.125,54887.37890625,196840.5625
2025-02-13,46841.55078125,516000.0,75334.2421875,195519.421875,76701.8828125,88096.0546875,358000.0,1812754.875,54887.37890625,206341.171875
2025-02-14,48895.15234375,533000.0,75045.2265625,193175.046875,76991.6875,88750.0,353000.0,1814292.375,55084.109375,207825.625
2025-02-17,48406.19921875,577000.0,74467.21875,187361.046875,78247.515625,88096.0546875,353500.0,1821980.125,55084.109375,209804.9375
2025-02-18,48846.25390625,643000.0,73889.2109375,188017.46875,79310.140625,87722.3671875,350500.0,1806604.75,55969.390625,207825.625
2025-02-19,48015.03515625,639000.0,74756.21875,191299.578125,79406.734375,88750.0,366000.0,1777391.5,57739.953125,216237.609375
2025-02-20,49286.3125,645000.0,73696.5390625,190361.8125,79889.75,88282.8984375,376500.0,1766628.75,57444.859375,209804.9375
2025-02-21,48503.98828125,660000.0,73792.8671875,193175.046875,79889.75,88376.3203125,378500.0,1778929.125,57248.1328125,207330.78125
2025-02-24,47672.76953125,666000.0,73214.8515625,194112.796875,79213.5390625,88656.578125,385500.0,1769703.875,56362.84765625,202877.390625
2025-02-25,47672.76953125,680000.0,72444.1796875,189892.953125,78633.921875,87068.421875,373500.0,1811217.375,56264.484375,198424.0
2025-02-26,47917.24609375,672000.0,72733.171875,192237.296875,78730.53125,87909.2109375,374000.0,1795842.0,55674.296875,200898.09375
2025-02-27,46792.65625,649000.0,73025.671875,193686.328125,78832.0,88376.3203125,370500.0,1782004.125,55379.203125,198411.96875
2025-02-28,45961.44140625,594000.0,71075.7265625,186441.1875,76392.8828125,87068.421875,352000.0,1715890.125,53608.640625,189447.578125
2025-03-04,44299.00390625,701000.0,74000.6484375,183832.953125,76002.625,87161.84375,332000.0,1722040.25,53608.640625,185363.796875
2025-03-05,46499.28515625,695000.0,73123.171875,188083.421875,74734.2890625,89590.7890625,334000.0,1757403.625,53116.8203125,192336.109375
2025-03-06,47183.81640625,678000.0,73805.6484375,190884.875,76685.5703125,91552.6328125,334000.0,1737415.625,53411.9140625,191638.875
2025-03-07,48063.9296875,731000.0,72050.6953125,189918.859375,75807.5,90431.578125,339000.0,1691289.5,52821.7265625,191638.875
2025-03-10,48895.15234375,702000.0,74488.1328125,190691.671875,76588.015625,91552.6328125,349500.0,1665151.375,52821.7265625,187156.671875
2025-03-11,49188.51953125,678000.0,71953.1953125,188952.84375,75514.8046875,91926.3203125,341000.0,1642088.375,52723.36328125,187057.09375
2025-03-12,50166.42578125,665000.0,73123.171875,191464.5,75026.984375,92580.265625,348500.0,1659001.25,54002.1015625,198113.171875
